user_id,variant,signed_up
75500,Treatment,0
1139,Control,0
17624,Control,1
58241,Treatment,0
16775,Control,0
61216,Treatment,0
15881,Control,0
52529,Treatment,1
24224,Control,0
73523,Treatment,0
74775,Treatment,0
48814,Control,0
87226,Treatment,0
98287,Treatment,0
92135,Treatment,0
56007,Treatment,0
8667,Control,0
40418,Control,0
43952,Control,0
46476,Control,1
5757,Control,0
31665,Control,0
9994,Control,1
238,Control,0
41324,Control,0
36080,Control,1
81869,Treatment,1
89625,Treatment,1
90600,Treatment,0
90153,Treatment,0
48226,Control,0
34573,Control,0
78198,Treatment,0
50439,Treatment,0
88552,Treatment,0
68212,Treatment,0
25700,Control,0
24961,Control,0
42271,Control,0
56036,Treatment,0
99858,Treatment,0
90084,Treatment,0
9588,Control,0
20689,Control,0
92041,Treatment,0
34217,Control,1
333,Control,1
97171,Treatment,1
72141,Treatment,0
60785,Treatment,0
14241,Control,0
29236,Control,0
65935,Treatment,1
26481,Control,0
84437,Treatment,0
11172,Control,0
33123,Control,0
20983,Control,0
7129,Control,0
24979,Control,0
72792,Treatment,0
27102,Control,0
69112,Treatment,0
20483,Control,0
78719,Treatment,0
40456,Control,0
45063,Control,0
58580,Treatment,1
22282,Control,0
21574,Control,0
697,Control,1
71085,Treatment,0
6432,Control,1
88997,Treatment,0
53161,Treatment,0
15289,Control,0
18383,Control,0
28209,Control,0
3325,Control,0
35143,Control,0
17100,Control,0
2563,Control,1
64379,Treatment,0
41208,Control,1
21776,Control,0
56785,Treatment,0
47548,Control,0
92453,Treatment,0
81427,Treatment,0
64722,Treatment,1
59152,Treatment,0
18648,Control,0
33385,Control,0
39039,Control,0
56464,Treatment,0
2386,Control,1
12109,Control,1
18923,Control,0
31254,Control,0
75715,Treatment,0
78906,Treatment,0
50342,Treatment,0
23514,Control,0
26619,Control,0
92502,Treatment,0
11497,Control,0
65132,Treatment,0
91536,Treatment,0
74785,Treatment,1
18322,Control,1
14253,Control,0
62208,Treatment,0
90640,Treatment,1
45676,Control,1
7695,Control,0
33095,Control,0
66005,Treatment,0
65451,Treatment,0
6521,Control,0
35670,Control,0
8635,Control,0
50278,Treatment,0
78069,Treatment,0
57508,Treatment,0
74958,Treatment,0
41939,Control,0
11338,Control,0
53753,Treatment,0
69022,Treatment,0
28477,Control,1
94067,Treatment,0
7297,Control,0
24052,Control,0
59414,Treatment,1
80647,Treatment,0
50203,Treatment,0
31478,Control,0
91944,Treatment,0
48914,Control,0
83621,Treatment,1
41279,Control,0
71653,Treatment,0
24793,Control,0
31866,Control,0
24216,Control,0
40633,Control,1
32138,Control,1
41620,Control,1
69473,Treatment,1
33134,Control,0
13289,Control,1
55370,Treatment,1
53956,Treatment,0
38611,Control,1
46465,Control,0
23234,Control,1
15148,Control,0
9908,Control,0
33094,Control,0
59949,Treatment,0
37092,Control,0
7502,Control,0
11537,Control,0
74692,Treatment,0
73687,Treatment,0
15385,Control,0
69623,Treatment,0
44659,Control,0
69691,Treatment,0
51991,Treatment,1
24898,Control,0
88874,Treatment,0
18082,Control,0
94492,Treatment,0
74447,Treatment,0
56164,Treatment,0
16191,Control,1
6078,Control,0
9403,Control,0
73848,Treatment,0
98163,Treatment,0
35954,Control,0
38195,Control,0
53536,Treatment,0
85837,Treatment,1
33152,Control,0
20647,Control,0
91415,Treatment,1
58505,Treatment,0
99431,Treatment,0
31372,Control,1
80964,Treatment,0
98472,Treatment,1
77119,Treatment,0
68139,Treatment,0
16188,Control,0
80847,Treatment,0
76515,Treatment,0
63746,Treatment,0
36986,Control,1
97652,Treatment,1
51193,Treatment,0
22731,Control,0
72462,Treatment,0
66934,Treatment,1
85602,Treatment,0
53028,Treatment,0
65588,Treatment,0
11939,Control,0
36256,Control,0
18068,Control,1
64177,Treatment,0
98928,Treatment,0
14776,Control,0
63876,Treatment,0
78344,Treatment,0
54264,Treatment,0
38665,Control,0
35064,Control,1
66470,Treatment,0
16608,Control,0
28425,Control,0
65911,Treatment,0
71684,Treatment,0
27049,Control,0
8068,Control,0
68843,Treatment,0
91543,Treatment,0
46320,Control,0
54894,Treatment,1
70975,Treatment,0
46654,Control,0
78,Control,1
22314,Control,0
86402,Treatment,0
33389,Control,0
51422,Treatment,0
59848,Treatment,0
47509,Control,0
32821,Control,0
70260,Treatment,0
4989,Control,1
255,Control,0
79961,Treatment,1
20299,Control,0
21217,Control,1
15891,Control,0
87854,Treatment,0
19172,Control,0
81177,Treatment,1
60041,Treatment,0
44788,Control,0
86129,Treatment,0
85242,Treatment,0
50530,Treatment,0
70194,Treatment,0
3682,Control,0
52906,Treatment,0
39838,Control,0
91425,Treatment,1
11876,Control,0
88281,Treatment,0
15946,Control,0
71612,Treatment,0
16651,Control,0
44770,Control,0
17438,Control,1
67882,Treatment,0
35673,Control,1
49064,Control,0
90081,Treatment,0
36642,Control,1
72338,Treatment,0
38095,Control,0
84560,Treatment,0
31862,Control,0
76727,Treatment,0
31514,Control,0
96052,Treatment,0
70700,Treatment,0
63842,Treatment,0
26836,Control,0
84805,Treatment,0
58257,Treatment,0
1108,Control,1
5698,Control,0
62989,Treatment,0
64962,Treatment,0
97782,Treatment,0
3073,Control,0
13775,Control,0
24972,Control,0
52144,Treatment,0
98393,Treatment,0
92745,Treatment,0
821,Control,0
92753,Treatment,0
32117,Control,1
6878,Control,0
20638,Control,0
88437,Treatment,0
94226,Treatment,0
71422,Treatment,0
45447,Control,0
23030,Control,0
6263,Control,0
31744,Control,0
83166,Treatment,1
60454,Treatment,1
15105,Control,0
78965,Treatment,0
14829,Control,1
36838,Control,0
78109,Treatment,0
58183,Treatment,0
63430,Treatment,0
97435,Treatment,0
62022,Treatment,0
58865,Treatment,0
99717,Treatment,0
34282,Control,0
10269,Control,1
33176,Control,0
29135,Control,0
94168,Treatment,0
10300,Control,0
74311,Treatment,0
45464,Control,0
79553,Treatment,0
91738,Treatment,0
51622,Treatment,0
14712,Control,1
