session_id,subscriber_id,date,genre,device,duration_min,rating
51573,1166,2024-04-11,Анімація,Mobile,72,1
50017,1429,2024-06-25,Романтика,Mobile,53,5
50861,1404,2024-07-05,Бойовик,Smart TV,49,5
54446,1520,2024-07-01,Серіал,Laptop,66,3
51561,1052,2024-06-13,Бойовик,Laptop,81,5
51938,1078,2024-08-27,Документальний,Mobile,60,4
52050,1343,2024-02-26,Бойовик,Tablet,86,3
54963,1444,2024-08-04,Серіал,Smart TV,56,4
50908,1521,2024-04-02,Драма,Smart TV,68,4
51976,1555,2024-04-11,Драма,Mobile,84,5
53320,1318,2024-08-16,Драма,Smart TV,64,4
50859,1078,2024-02-25,Комедія,Smart TV,60,5
52494,1321,2024-04-19,Драма,Smart TV,55,4
54327,1149,2024-01-02,Документальний,Laptop,58,5
53590,1178,2024-07-30,Романтика,Mobile,17,4
54308,1416,2024-07-27,Романтика,Mobile,93,5
53105,1172,2024-06-29,Бойовик,Smart TV,21,3
53486,1199,2024-05-01,Комедія,Smart TV,79,5
50039,1201,2024-08-10,Романтика,Laptop,77,4
51353,1417,2024-06-14,Драма,Smart TV,78,4
52560,1170,2024-05-22,Романтика,Laptop,81,5
53103,1266,2024-05-30,Жахи,Mobile,93,4
51081,1551,2024-07-14,Документальний,Smart TV,69,4
53526,1265,2024-03-05,Анімація,Laptop,98,5
50951,1090,2024-01-01,Романтика,Laptop,36,4
54085,1340,2024-03-02,Серіал,Smart TV,104,4
50518,1338,2024-04-11,Комедія,Mobile,53,4
54618,1503,2024-02-10,Серіал,Mobile,73,5
54171,1504,2024-03-22,Бойовик,Smart TV,38,4
51780,1184,2024-05-23,Документальний,Mobile,26,5
50780,1186,2024-02-12,Серіал,Smart TV,89,2
54240,1442,2024-03-16,Драма,Laptop,74,4
52340,1005,2024-05-29,Драма,Tablet,52,4
51343,1585,2024-01-15,Документальний,Mobile,92,5
50462,1099,2024-01-28,Бойовик,Laptop,48,4
51160,1304,2024-03-20,Жахи,Mobile,155,5
53119,1296,2024-04-04,Серіал,Laptop,103,5
54338,1592,2024-08-27,Романтика,Laptop,13,4
50266,1032,2024-08-22,Жахи,Laptop,60,3
54912,1449,2024-02-09,Анімація,Smart TV,113,4
53310,1287,2024-08-04,Анімація,Laptop,19,3
54531,1550,2024-04-08,Серіал,Mobile,10,5
54562,1430,2024-02-12,Драма,Laptop,29,4
53413,1188,2024-05-22,Анімація,Laptop,86,4
53761,1523,2024-06-19,Серіал,Laptop,90,5
52941,1534,2024-07-01,Серіал,Smart TV,30,2
50365,1334,2024-05-06,Комедія,Laptop,27,3
50696,1260,2024-01-28,Серіал,Mobile,97,3
52976,1464,2024-06-21,Романтика,Mobile,5,5
54086,1575,2024-01-03,Романтика,Laptop,38,4
50308,1294,2024-04-28,Бойовик,Laptop,37,4
53234,1066,2024-04-28,Жахи,Smart TV,58,4
52675,1201,2024-06-02,Анімація,Smart TV,79,5
52756,1355,2024-07-31,Серіал,Laptop,100,5
51537,1036,2024-01-05,Бойовик,Tablet,27,5
54460,1127,2024-02-25,Документальний,Laptop,54,5
54582,1402,2024-03-08,Жахи,Laptop,5,4
54690,1463,2024-02-19,Бойовик,Smart TV,48,4
50521,1141,2024-08-13,Бойовик,Mobile,103,5
53650,1183,2024-01-18,Анімація,Tablet,79,4
50874,1180,2024-04-21,Серіал,Smart TV,34,4
50400,1041,2024-07-26,Анімація,Mobile,26,5
50406,1482,2024-07-05,Романтика,Laptop,82,5
53312,1352,2024-04-08,Романтика,Smart TV,5,5
54903,1024,2024-04-08,Комедія,Smart TV,97,1
54849,1060,2024-01-04,Анімація,Tablet,69,3
53781,1514,2024-06-13,Бойовик,Laptop,67,4
51874,1404,2024-05-12,Серіал,Smart TV,20,4
51372,1447,2024-06-19,Драма,Tablet,93,5
51830,1118,2024-02-28,Анімація,Laptop,60,4
54868,1060,2024-07-22,Документальний,Laptop,9,4
50660,1212,2024-08-07,Анімація,Tablet,54,5
50113,1438,2024-08-05,Документальний,Mobile,45,4
50026,1224,2024-02-12,Документальний,Mobile,48,4
53138,1074,2024-01-05,Драма,Laptop,48,5
53322,1212,2024-06-16,Серіал,Laptop,50,4
52364,1121,2024-01-19,Драма,Laptop,41,1
53747,1490,2024-04-19,Серіал,Laptop,36,5
50900,1339,2024-06-24,Бойовик,Mobile,53,5
53173,1358,2024-03-31,Документальний,Laptop,75,5
53886,1242,2024-05-25,Комедія,Laptop,88,4
54016,1419,2024-04-14,Романтика,Laptop,21,5
52287,1068,2024-08-24,Документальний,Smart TV,82,4
53466,1261,2024-03-16,Романтика,Laptop,23,3
52327,1078,2024-03-14,Бойовик,Laptop,18,5
52651,1111,2024-06-19,Комедія,Laptop,55,2
54800,1178,2024-02-16,Анімація,Laptop,5,4
51008,1110,2024-08-17,Жахи,Laptop,25,4
54787,1450,2024-02-16,Бойовик,Smart TV,131,4
54817,1481,2024-08-22,Драма,Smart TV,61,2
54374,1226,2024-05-27,Анімація,Mobile,5,2
51512,1540,2024-02-21,Бойовик,Mobile,63,5
54318,1141,2024-06-13,Анімація,Mobile,5,4
53949,1108,2024-03-11,Анімація,Smart TV,25,4
52201,1124,2024-06-17,Драма,Laptop,34,5
50368,1460,2024-07-22,Серіал,Mobile,21,5
53335,1056,2024-01-16,Драма,Smart TV,73,4
50554,1361,2024-07-22,Анімація,Smart TV,52,4
52155,1271,2024-03-31,Анімація,Mobile,30,4
50613,1596,2024-04-03,Драма,Mobile,44,4
50996,1408,2024-04-07,Документальний,Laptop,43,4
54142,1463,2024-01-04,Романтика,Mobile,55,5
50005,1402,2024-04-21,Романтика,Mobile,39,3
54566,1268,2024-01-26,Романтика,Mobile,45,5
53779,1025,2024-06-16,Анімація,Smart TV,31,5
53214,1138,2024-07-17,Романтика,Tablet,23,5
50062,1316,2024-02-05,Документальний,Smart TV,28,3
53518,1013,2024-01-10,Комедія,Laptop,63,5
54677,1498,2024-08-10,Серіал,Smart TV,79,3
50865,1179,2024-06-06,Анімація,Mobile,56,2
52542,1561,2024-03-02,Жахи,Smart TV,58,5
50419,1217,2024-04-25,Комедія,Tablet,100,3
51827,1553,2024-01-21,Комедія,Tablet,120,3
53716,1180,2024-07-10,Документальний,Smart TV,41,5
53580,1345,2024-02-03,Документальний,Laptop,63,4
54180,1038,2024-02-10,Анімація,Smart TV,78,4
51592,1345,2024-06-10,Документальний,Smart TV,39,5
53459,1454,2024-05-04,Драма,Mobile,77,5
50275,1226,2024-01-27,Драма,Smart TV,66,3
52400,1492,2024-06-19,Анімація,Smart TV,40,5
50958,1326,2024-04-19,Анімація,Laptop,63,5
51063,1476,2024-05-29,Драма,Smart TV,28,4
53861,1465,2024-08-10,Жахи,Mobile,27,4
53292,1199,2024-08-13,Комедія,Smart TV,46,4
54981,1441,2024-06-01,Документальний,Smart TV,62,3
50717,1385,2024-02-23,Комедія,Smart TV,55,4
51787,1051,2024-03-12,Романтика,Laptop,63,5
51396,1546,2024-01-13,Серіал,Laptop,57,3
51204,1452,2024-02-27,Драма,Mobile,43,5
51464,1495,2024-01-08,Анімація,Smart TV,36,4
51865,1278,2024-07-17,Бойовик,Smart TV,71,5
50304,1053,2024-03-10,Анімація,Tablet,119,5
54144,1508,2024-06-05,Бойовик,Mobile,92,4
51611,1496,2024-05-05,Анімація,Tablet,19,4
50323,1470,2024-05-14,Бойовик,Laptop,70,4
54621,1271,2024-04-24,Серіал,Smart TV,20,4
54080,1058,2024-01-30,Документальний,Laptop,87,4
50184,1124,2024-06-02,Анімація,Mobile,115,4
