subscriber_id,age,gender,country,plan,monthly_fee,join_date,is_active
1001,19,Ч,Україна,Premium,329,2023-02-27,Ні
1002,40,Ж,Польща,Standard,219,2022-03-05,Так
1003,60,Ч,Україна,Basic,149,2023-02-20,Так
1004,36,Ч,Чехія,Basic,149,2022-02-22,Так
1005,34,Ж,Іспанія,Standard,219,2023-08-27,Так
1006,37,Ж,Польща,Standard,219,2024-11-17,Так
1007,16,Ж,Україна,Premium,329,2024-07-22,Так
1008,49,Ч,Німеччина,Standard,219,2022-11-06,Так
1009,47,Ж,Німеччина,Basic,149,2023-09-13,Ні
1010,40,Ж,Німеччина,Standard,219,2022-10-03,Ні
1011,16,Ч,Іспанія,Family,449,2023-09-17,Так
1012,56,Ч,Україна,Standard,219,2024-12-08,Так
1013,25,Ч,Іспанія,Standard,219,2023-01-01,Так
1014,17,Ч,Україна,Standard,219,2023-07-21,Так
1015,55,Ж,Україна,Standard,219,2022-02-14,Ні
1016,20,Ч,Польща,Premium,329,2022-06-09,Ні
1017,64,Ж,Німеччина,Standard,219,2022-11-21,Ні
1018,20,Ч,Чехія,Premium,329,2023-11-08,Так
1019,64,Ж,Польща,Standard,219,2022-11-25,Ні
1020,39,Ж,Україна,Family,449,2024-02-21,Так
1021,43,Ж,Україна,Basic,149,2024-01-12,Так
1022,35,Ч,Польща,Premium,329,2022-09-11,Ні
1023,37,Ж,Польща,Standard,219,2023-04-19,Так
1024,48,Ч,Україна,Family,449,2023-07-02,Ні
1025,28,Ч,Польща,Premium,329,2022-04-09,Так
1026,54,Ч,Україна,Standard,219,2024-03-26,Ні
1027,66,Ж,Іспанія,Standard,219,2023-01-09,Так
1028,37,Ж,Україна,Basic,149,2024-03-20,Так
1029,37,Ж,Німеччина,Basic,149,2022-06-28,Так
1030,36,Ж,Україна,Premium,329,2023-04-27,Ні
1031,67,Ж,Україна,Standard,219,2024-05-27,Ні
1032,39,Ч,Україна,Standard,219,2023-09-27,Так
1033,40,Ж,Україна,Standard,219,2022-08-19,Так
1034,31,Ж,Німеччина,Standard,219,2023-10-19,Так
1035,48,Ж,Німеччина,Family,449,2023-01-06,Так
1036,58,Ч,Польща,Basic,149,2024-01-16,Ні
1037,36,Ж,Литва,Family,449,2022-10-28,Так
1038,61,Ч,Німеччина,Family,449,2023-12-13,Так
1039,32,Ж,Україна,Family,449,2023-07-02,Так
1040,59,Ч,Україна,Basic,149,2024-03-25,Так
1041,35,Ж,Польща,Family,449,2022-05-17,Так
1042,55,Ж,Польща,Standard,219,2022-09-03,Так
